dataset,endpoint,params,status,rows,output_path,warning,non_null_price_today,non_null_price_tomorrow,non_null_delta_abs
brands,/brands,{},ok,35.0,fuelwatch_runs\20260327T091744Z\raw\reference\brands.json,,,,
products,/products,{},ok,7.0,fuelwatch_runs\20260327T091744Z\raw\reference\products.json,,,,
suburbs,/sites/suburbs,{},ok,364.0,fuelwatch_runs\20260327T091744Z\raw\reference\suburbs.json,,,,
parameters,/configuration/parameter,{},ok,,fuelwatch_runs\20260327T091744Z\raw\reference\parameters.json,,,,
toggles,/configuration/toggle,{},ok,2.0,fuelwatch_runs\20260327T091744Z\raw\reference\toggles.json,,,,
alerts,/alerts,{},ok,4.0,fuelwatch_runs\20260327T091744Z\raw\reference\alerts.json,,,,
groups,/groups,{},error,,fuelwatch_runs\20260327T091744Z\raw\reference\groups.json,404 Client Error: Not Found for url: https://www.fuelwatch.wa.gov.au/api/groups,,,
regions,/region,{},ok,10.0,fuelwatch_runs\20260327T091744Z\raw\reference\regions.json,,,,
sites_ULP,/sites,{'fuelType': 'ULP'},ok,738.0,fuelwatch_runs\20260327T091744Z\raw\sites\sites_ULP.json,,,,
sites_DSL,/sites,{'fuelType': 'DSL'},ok,459.0,fuelwatch_runs\20260327T091744Z\raw\sites\sites_DSL.json,,,,
sites_98R,/sites,{'fuelType': '98R'},ok,653.0,fuelwatch_runs\20260327T091744Z\raw\sites\sites_98R.json,,,,
current_prices_flat,derived,"{'fuels': ['ULP', 'DSL', '98R']}",warning,1850.0,fuelwatch_runs\20260327T091744Z\flat\current_prices.csv,Rows returned but tomorrow prices are only populated for 1800 of 1850 rows,1791.0,1800.0,1791.0
current_prices_effective_flat,derived-cache,"{'fuels': ['ULP', 'DSL', '98R'], 'cached_rows_added': 0, 'cached_today_fills': 30, 'cached_tomorrow_fills': 18, 'cached_delta_recomputed': 0}",ok,1850.0,fuelwatch_runs\20260327T091744Z\flat\current_prices_effective.csv,"Applied cache backfill: today fills=30, tomorrow fills=18, rows added=0, delta recomputed=0",1821.0,1818.0,1818.0
price_trends_Metro_ULP,/report/price-trends,"{'region': 'Metro', 'fuelType': 'ULP'}",ok,31.0,fuelwatch_runs\20260327T091744Z\raw\reports\price_trends_Metro_ULP.json,,,,
monthly_average_prices_Metro_ULP,/report/monthly-average-prices,"{'region': 'Metro', 'fuelType': 'ULP', 'dateFrom': 'Tue, 31 Dec 2024 16:00:00 GMT', 'dateTo': 'Fri, 27 Mar 2026 15:59:59 GMT'}",ok,15.0,fuelwatch_runs\20260327T091744Z\raw\reports\monthly_average_prices_Metro_ULP.json,,,,
historical_daily_prices_flat,derived,"{'regions': ['Metro'], 'fuels': ['ULP']}",ok,31.0,fuelwatch_runs\20260327T091744Z\flat\historical_daily_prices.csv,,,,
historical_monthly_prices_flat,derived,"{'regions': ['Metro'], 'fuels': ['ULP'], 'dateFrom': 'Tue, 31 Dec 2024 16:00:00 GMT', 'dateTo': 'Fri, 27 Mar 2026 15:59:59 GMT'}",ok,15.0,fuelwatch_runs\20260327T091744Z\flat\historical_monthly_prices.csv,,,,
weekly_retail_prices_index,/report/weekly-retail-prices,{},ok,12.0,fuelwatch_runs\20260327T091744Z\raw\reports\weekly_retail_prices_index.json,,,,
monthly_retail_prices_index,/report/monthly-retail-prices,{},ok,303.0,fuelwatch_runs\20260327T091744Z\raw\reports\monthly_retail_prices_index.json,,,,
terminal_gate_prices_index,/report/terminal-gate-prices,{},ok,26.0,fuelwatch_runs\20260327T091744Z\raw\reports\terminal_gate_prices_index.json,,,,
terminal_gate_centres,/terminalgate/centres,{},ok,6.0,fuelwatch_runs\20260327T091744Z\raw\terminal_gate\centres.json,,,,
terminal_gate_prices_5,/terminalgate/prices/5,{'centreId': 5},ok,1.0,fuelwatch_runs\20260327T091744Z\raw\terminal_gate\prices_5.json,,,,
terminal_gate_prices_1,/terminalgate/prices/1,{'centreId': 1},ok,3.0,fuelwatch_runs\20260327T091744Z\raw\terminal_gate\prices_1.json,,,,
terminal_gate_prices_2,/terminalgate/prices/2,{'centreId': 2},ok,3.0,fuelwatch_runs\20260327T091744Z\raw\terminal_gate\prices_2.json,,,,
terminal_gate_prices_3,/terminalgate/prices/3,{'centreId': 3},ok,2.0,fuelwatch_runs\20260327T091744Z\raw\terminal_gate\prices_3.json,,,,
terminal_gate_prices_6,/terminalgate/prices/6,{'centreId': 6},ok,6.0,fuelwatch_runs\20260327T091744Z\raw\terminal_gate\prices_6.json,,,,
terminal_gate_prices_4,/terminalgate/prices/4,{'centreId': 4},ok,4.0,fuelwatch_runs\20260327T091744Z\raw\terminal_gate\prices_4.json,,,,
terminal_gate_prices_flat,derived,{},ok,44.0,fuelwatch_runs\20260327T091744Z\flat\terminal_gate_prices.csv,,,,
terminal_gate_prices_effective_flat,derived-cache,"{'cached_next_fills': 0, 'cached_previous_fills': 0, 'cached_delta_recomputed': 0}",ok,44.0,fuelwatch_runs\20260327T091744Z\flat\terminal_gate_prices_effective.csv,,,,
weekly_retail_blobs,blob-download,{},error,,fuelwatch_runs\20260327T091744Z\raw\blobs\weekly_retail_prices,403 Client Error: Server failed to authenticate the request. Make sure the value of Authorization header is formed correctly including the signature. for url: https://warsydprdstafuelwatch.blob.core.windows.net/home-content/reports/WeeklyFuelPricingfor_24-03-2026.pdf,,,
monthly_retail_blobs,blob-download,{},error,,fuelwatch_runs\20260327T091744Z\raw\blobs\monthly_retail_prices,403 Client Error: Server failed to authenticate the request. Make sure the value of Authorization header is formed correctly including the signature. for url: https://warsydprdstafuelwatch.blob.core.windows.net/historical-reports/FuelWatchRetail-03-2026.csv,,,
wholesale_blobs,blob-download,{},error,,fuelwatch_runs\20260327T091744Z\raw\blobs\terminal_gate_prices,403 Client Error: Server failed to authenticate the request. Make sure the value of Authorization header is formed correctly including the signature. for url: https://warsydprdstafuelwatch.blob.core.windows.net/historical-reports/FuelWatchWholesale-2026.csv,,,
